item_id,itemid_company,Serial,Property,item_name,quantity,category,project,specificlocation,location,image,par,condition
1,1,,,Accent Chair,2,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Co-Working Space,CTI,,https://drive.google.com/file/d/1Ao9jpjNE0gWD4AW3ig1WUSXH2Om6VB-a/view?usp=sharing,WORKING
2,2,,,Accent Chair,2,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,OVPRDES,CTI,,https://drive.google.com/file/d/1Ao9jpjNE0gWD4AW3ig1WUSXH2Om6VB-a/view?usp=sharing,WORKING
3,3,,,Artificial Plants,2,Furniture,DOST PCIEERD - TBI 4.0 YEAR 2,Co-Working Space,CTI,,,WORKING
4,4,,,Bean Bugs - Cupcake,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,DTC,CTI,https://drive.google.com/file/d/1AqoXEyrRsRx6FyTXiH6hl2Ex1bXhh385/view?usp=sharing,https://drive.google.com/file/d/1B3t9e7Vtw8gjSCAzVq7RFMy-Yv_mcnKD/view?usp=sharing,WORKING
5,5,,,Bean Bugs - Cupcake,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Co-Working Space,CTI,https://drive.google.com/file/d/1AqoXEyrRsRx6FyTXiH6hl2Ex1bXhh385/view?usp=sharing,https://drive.google.com/file/d/1B3t9e7Vtw8gjSCAzVq7RFMy-Yv_mcnKD/view?usp=sharing,WORKING
6,6,,,Bean Bugs - Floor Chairs,2,Furniture,CHED IDIG - TechHub,Co-Working Space,CTI,,,WORKING
7,7,,,Bean Bugs - Couch,1,Furniture,CHED IDIG - TechHub,Co-Working Space,CTI,,,WORKING
8,8,,,Bean Bugs - Couch,1,Furniture,CHED IDIG - TechHub,Storage Room,CTI,,,DEFECTIVE
9,9,,,Bean Bugs - Tear Drop,1,Furniture,CHED IDIG - TechHub,Storage Room,CTI,,,DEFECTIVE
10,10,,,Carpet,4,Furniture,DOST PCIEERD - TBI 4.0 YEAR 2,Co-Working Space,CTI,,,WORKING
11,11,,,Clerical Chair,1,Furniture,,Ms. Jecamarie Pasay,CTI,,,WORKING
12,12,,,Clerical Chair,1,Furniture,,Ms. Honey Lyn Tirador,CTI,,,WORKING
13,13,,,Computer table,2,Furniture,,Co-Working Space,CTI,,,WORKING
14,14,,,Computer table,7,Furniture,,Locators Space,CTI,,,WORKING
15,15,,,Computer table,4,Furniture,,Storage Room,CTI,,,WORKING
16,16,,,Computer table,2,Furniture,,PEZA,CTI,,,WORKING
17,17,,,Cross workstation desk with swivel chairs,1,Furniture,STF,Staff Workspace,CTI,,,WORKING
18,18,,,Display Rack,1,Furniture,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
19,19,,,Display Shelf - Hexagon,2,Furniture,DOST PCIEERD - TBI 4.0 Year 2,Co-Working Space,CTI,,,WORKING
20,20,,,Folding Table,3,Furniture,,Storage Room,CTI,,,WORKING
21,21,,,Folding Tables,3,Furniture,,Storage Room,CTI,,,WORKING
22,22,,,Gang Chair,6,Furniture,,STEER HUB,CTI,,,WORKING
23,23,,,Locker,4,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Outside Office,CTI,,https://drive.google.com/file/d/1sHEaNd95LU_x303jmiSg2Jty_vqsX7W7/view?usp=sharing,WORKING
24,24,,,Locker,2,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,DTC,CTI,,https://drive.google.com/file/d/1sHEaNd95LU_x303jmiSg2Jty_vqsX7W7/view?usp=sharing,WORKING
25,25,,,Mobile Pedestal ( Cabinet ),7,Furniture,,Conference Room,CTI,,,WORKING
26,26,,,Mobile Pedestal ( Cabinet ),1,Furniture,,Asst. Prof. John Richard Esguerra,CTI,,,WORKING
27,27,,,Mobile Pedestal ( Cabinet ),1,Furniture,,Ms. Honey Lyn A. Tirador,CTI,,,WORKING
28,28,,,Mobile Pedestal ( Cabinet ),1,Furniture,,Mr. Red Tarcelo,CTI,,,WORKING
29,29,,,Mobile Pedestal ( Cabinet ),1,Furniture,,Ms. Jecamarie Pasay,CTI,,,WORKING
30,30,,,Mobile Pedestal ( Cabinet ),1,Furniture,,Engr. Lovely Barbosa,CTI,,,WORKING
31,31,,,Movable Height Adjustable Table,1,Furniture,DOST PCIEERD - TBI 4.0 Year 2,OVPRDES,CTI,,https://drive.google.com/file/d/1YsDCJ3LyV6OX3vtUNnoMrbcW-lBiU2ZS/view?usp=sharing,WORKING
32,32,,,Movable Height Adjustable Table,1,Furniture,DOST PCIEERD - TBI 4.0 Year 2,Co-Working Space,CTI,,https://drive.google.com/file/d/1YsDCJ3LyV6OX3vtUNnoMrbcW-lBiU2ZS/view?usp=sharing,WORKING
33,33,,,Office Movable Partition,1,Furniture,,Co-Working Space,CTI,,,WORKING
34,34,,,Office Table and Office Chair,3,Furniture,DOST PCIEERD - TBI 4.0 Year 2,Locators Space,CTI,,,WORKING
35,35,,,Ottoman,11,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Co-Working Space,CTI,https://drive.google.com/file/d/1AcXpNJjrmEz5ethoJQzkEJnTBvNvY83f/view?usp=sharing,https://drive.google.com/file/d/1AL24XTs0amZfhQP3uwhgJc5aNEbBd5SP/view?usp=sharing,WORKING
36,36,,,Ottoman,3,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,DTC,CTI,https://drive.google.com/file/d/1AcXpNJjrmEz5ethoJQzkEJnTBvNvY83f/view?usp=sharing,https://drive.google.com/file/d/1AL24XTs0amZfhQP3uwhgJc5aNEbBd5SP/view?usp=sharing,WORKING
37,37,,,Plastic Folding Stool,8,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,AVR,CTI,,https://drive.google.com/file/d/1zlMgt76p0tvi3nIk4duCrZS4-qXLMA3l/view?usp=sharing,WORKING
38,38,,,Plastic Folding Stool,16,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,FabLab,CTI,,https://drive.google.com/file/d/1zlMgt76p0tvi3nIk4duCrZS4-qXLMA3l/view?usp=sharing,DEFECTIVE
39,39,,,Round Table,1,Furniture,,Co-Working Space,CTI,,,WORKING
40,40,,,Steel Cabine with Safety Vault,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Conference Room,CTI,,,WORKING
41,41,,,Sofa ( Modular ),1,Furniture,CHED-IDIG,Receiving Area,CTI,,,WORKING
42,42,,,Sofa lounge with table,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Receiving Area,CTI,,,WORKING
43,43,,,Steel Rack,2,Furniture,DOST CALABRZON - RIIC Calabarzon Year 1,Storage Room,CTI,,,WORKING
44,44,,,Steel Filling Cabinet,2,Furniture,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
45,45,,,Swivel Chair,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Asst. Prof. John Richard Esguerra,CTI,,,WORKING
46,46,,,Swivel Chair,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Mr. Red Tarcelo,CTI,,,WORKING
47,47,,,Swivel Chair,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Ms. Lovely Barbosa,CTI,,,WORKING
48,48,,,Wooden File Cabinet,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,Staff Workspace,CTI,,,WORKING
49,49,,,Wooden Easel Stand,1,Furniture,DOST PCIEERD - TBI 4.0 Year 2,Co-Working Space,CTI,,,WORKING
50,50,,,Wooden Easel Stand,4,Furniture,DOST PCIEERD - TBI 4.0 Year 2,Storage Room,CTI,,,WORKING
51,51,,,Zigzag workstation desk with swivel chairs,1,Furniture,STF,Co-Working Space,CTI,,,WORKING
52,52,,,Conference table with 8 swivel chairs,1,Furniture,STF,Conference Room,CTI,,,WORKING
53,53,,,Layer  Steel Filing Cabinet ,2,Furniture,STF,Conference Room,CTI,,,WORKING
54,54,,,Automatic Thermal Scanner with Alcohol Auto Dispenser,1,Appliance,DOST PCIEERD - TBI 4.0 Year 2,CTI,CTI,,https://drive.google.com/file/d/1nRhpCK8D8SIcUvA4uSAMgM0YZOkQXbpR/view?usp=sharing,WORKING
55,55,,,Automatic Thermal Scanner with Alcohol Auto Dispenser,1,Appliance,DOST PCIEERD - TBI 4.0 Year 2,Vault,CTI,,https://drive.google.com/file/d/1nRhpCK8D8SIcUvA4uSAMgM0YZOkQXbpR/view?usp=sharing,WORKING
56,56,,,Automatic Thermal Scanner with Alcohol Auto Dispenser,1,Appliance,DOST PCIEERD - TBI 4.0 Year 2,Ground Flr,CTI,,https://drive.google.com/file/d/1nRhpCK8D8SIcUvA4uSAMgM0YZOkQXbpR/view?usp=sharing,WORKING
57,57,,,Automatic Thermal Scanner with Alcohol Auto Dispenser,1,Appliance,DOST PCIEERD - TBI 4.0 Year 2,Receiving Area,CTI,,https://drive.google.com/file/d/1nRhpCK8D8SIcUvA4uSAMgM0YZOkQXbpR/view?usp=sharing,WORKING
58,58,,,Coffee Maker - Asahi ,1,Appliance,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
